time,stateEstimate.x,ctrltarget.x,
3270.54,12.648,0,
3270.55,12.658,0,
3270.56,12.6681,0,
3270.57,12.6781,0,
3270.58,12.6882,0,
3270.59,12.6982,0,
3270.6,12.7083,0,
3270.61,12.7184,0,
