[rosmaster.master][INFO] 2021-07-24 12:09:19,389: +PARAM [/crazyflieTypes/medium/firmwareParams/ctrlMel/kp_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,389: +SUB [/rosout] /rosout http://feuuu:40339/
[rosmaster.master][INFO] 2021-07-24 12:09:19,390: +PARAM [/crazyswarm_server/save_point_clouds] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,390: +PARAM [/crazyswarm_server/print_latency] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,390: +PARAM [/crazyflieTypes/medium/firmwareParams/ctrlMel/kR_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,390: +PARAM [/crazyflieTypes/large/bigQuad] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,390: +PARAM [/markerConfigurations/1/points/3] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,390: +PARAM [/crazyflieTypes/CF21SingleMarker/firmwareParams/ctrlMel/kw_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,390: +PARAM [/markerConfigurations/1/points/2] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,390: +PARAM [/crazyflieTypes/large/markerConfiguration] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,390: +PARAM [/crazyswarm_server/genericLogTopics] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,390: +PARAM [/crazyflieTypes/defaultSingleMarker/firmwareParams/ctrlMel/i_range_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,390: +PARAM [/crazyflieTypes/medium/firmwareParams/ctrlMel/ki_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,390: +PARAM [/crazyflieTypes/defaultSingleMarker/firmwareParams/kalman/mNGyro_rollpitch] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,391: +PARAM [/markerConfigurations/1/points/0] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,391: +PARAM [/crazyflieTypes/CF21SingleMarker/firmwareParams/ctrlMel/i_range_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,391: +PARAM [/crazyflieTypes/large/firmwareParams/ctrlMel/kd_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,391: +PARAM [/crazyflieTypes/large/dynamicsConfiguration] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,391: +PARAM [/crazyflieTypes/defaultSingleMarker/batteryVoltageWarning] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:09:19,391: +PARAM [/markerConfigurations/2/offset] by /roslaunch
