[rosmaster.master][INFO] 2021-07-24 12:17:05,297: +PARAM [/crazyflieTypes/large/firmwareParams/ctrlMel/kd_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,297: +PARAM [/crazyflieTypes/large/dynamicsConfiguration] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,297: +PARAM [/crazyflieTypes/defaultSingleMarker/batteryVoltageWarning] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,297: +PARAM [/markerConfigurations/2/offset] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,297: +PARAM [/crazyswarm_server/genericLogTopic_log1_Variables] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,297: +PARAM [/crazyflieTypes/large/firmwareParams/ctrlMel/kR_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,298: +PARAM [/crazyflieTypes/medium/firmwareParams/ctrlMel/kp_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,298: +PARAM [/crazyflieTypes/large/firmwareParams/ctrlMel/kd_omega_rp] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,298: +PARAM [/crazyflieTypes/medium/markerConfiguration] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,298: +PARAM [/markerConfigurations/0/offset] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,298: +PARAM [/crazyswarm_server/genericLogTopicFrequencies] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,298: +PARAM [/dynamicsConfigurations/0/maxRollRate] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,298: +PARAM [/crazyflieTypes/default/dynamicsConfiguration] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,298: +PARAM [/crazyflieTypes/medium/firmwareParams/ctrlMel/kd_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,298: +PARAM [/crazyflieTypes/medium/firmwareParams/ctrlMel/i_range_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,298: +PARAM [/markerConfigurations/3/offset] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,298: +PARAM [/crazyflieTypes/large/firmwareParams/ctrlMel/kR_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,298: +PARAM [/crazyflieTypes/CF21SingleMarker/firmwareParams/ctrlMel/kR_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,298: +PARAM [/crazyflieTypes/defaultSingleMarker/dynamicsConfiguration] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,298: +PARAM [/crazyflieTypes/default/firmwareParams/ctrlMel/kR_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,299: +PARAM [/crazyflieTypes/medium/firmwareParams/ctrlMel/massThrust] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,299: +PARAM [/crazyflieTypes/defaultSingleMarker/firmwareParams/ctrlMel/kd_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,299: +PARAM [/markerConfigurations/3/numPoints] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,299: +PARAM [/crazyswarm_server/object_tracking_type] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,299: +PARAM [/crazyflies] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,299: +PARAM [/crazyflieTypes/CF21SingleMarker/bigQuad] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,299: +PARAM [/crazyflieTypes/medium/batteryVoltageWarning] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,299: +PARAM [/crazyflieTypes/large/firmwareParams/ctrlMel/i_range_m_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,299: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,299: +PARAM [/dynamicsConfigurations/0/maxYVelocity] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,299: +PARAM [/crazyflieTypes/defaultSingleMarker/firmwareParams/kalman/pNAcc_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,299: +PARAM [/markerConfigurations/1/numPoints] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,299: +PARAM [/crazyswarm_server/world_frame] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,299: +PARAM [/crazyflieTypes/default/firmwareParams/ctrlMel/ki_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,299: +PARAM [/numDynamicsConfigurations] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,300: +PARAM [/crazyflieTypes/defaultSingleMarker/firmwareParams/ctrlMel/massThrust] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,300: +PARAM [/crazyflieTypes/CF21SingleMarker/batteryVoltateCritical] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,300: +PARAM [/crazyflieTypes/default/firmwareParams/ctrlMel/kd_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,300: +PARAM [/markerConfigurations/0/numPoints] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,300: +PARAM [/crazyflieTypes/medium/firmwareParams/ctrlMel/kd_omega_rp] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,300: +PARAM [/crazyflieTypes/CF21SingleMarker/firmwareParams/ctrlMel/kd_omega_rp] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,300: +PARAM [/crazyflieTypes/CF21SingleMarker/firmwareParams/ctrlMel/kR_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,300: +PARAM [/crazyflieTypes/defaultSingleMarker/firmwareParams/ctrlMel/ki_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,300: +PARAM [/crazyflieTypes/defaultSingleMarker/firmwareParams/ctrlMel/kd_omega_rp] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,300: +PARAM [/crazyflieTypes/large/firmwareParams/ctrlMel/kp_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,300: +PARAM [/crazyflieTypes/defaultSingleMarker/firmwareParams/ctrlMel/kR_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,300: +PARAM [/crazyflieTypes/medium/firmwareParams/ctrlMel/kd_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,300: +PARAM [/crazyflieTypes/default/firmwareParams/ctrlMel/kp_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,300: +PARAM [/crazyflieTypes/defaultSingleMarker/firmwareParams/ctrlMel/ki_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,300: +PARAM [/crazyswarm_teleop/csv_file] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,300: +PARAM [/crazyflieTypes/CF21SingleMarker/firmwareParams/ctrlMel/massThrust] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,301: +PARAM [/crazyflieTypes/default/firmwareParams/ctrlMel/massThrust] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,301: +PARAM [/crazyflieTypes/medium/firmwareParams/ctrlMel/mass] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,301: +PARAM [/crazyswarm_server/firmwareParams/commander/enHighLevel] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,301: +PARAM [/crazyswarm_server/send_position_only] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,301: +PARAM [/crazyflieTypes/defaultSingleMarker/firmwareParams/ctrlMel/kp_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,301: +PARAM [/crazyflieTypes/medium/dynamicsConfiguration] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,301: +PARAM [/crazyflieTypes/CF21SingleMarker/firmwareParams/ctrlMel/mass] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,301: +PARAM [/markerConfigurations/1/points/1] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,301: +PARAM [/crazyflieTypes/defaultSingleMarker/firmwareParams/ctrlMel/kd_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,301: +PARAM [/dynamicsConfigurations/0/maxYawRate] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,301: +PARAM [/dynamicsConfigurations/0/maxRoll] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,301: +PARAM [/dynamicsConfigurations/0/maxPitchRate] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,301: +PARAM [/crazyflieTypes/large/firmwareParams/ctrlMel/ki_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,301: +PARAM [/crazyflieTypes/medium/firmwareParams/ctrlMel/kw_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,301: +PARAM [/crazyflieTypes/default/firmwareParams/ctrlMel/kp_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,301: +PARAM [/crazyflieTypes/default/firmwareParams/ctrlMel/ki_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,302: +PARAM [/crazyflieTypes/CF21SingleMarker/dynamicsConfiguration] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,302: +PARAM [/dynamicsConfigurations/0/maxZVelocity] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,302: +PARAM [/crazyflieTypes/large/firmwareParams/ctrlMel/kw_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,302: +PARAM [/crazyflieTypes/CF21SingleMarker/batteryVoltageWarning] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,302: +PARAM [/crazyswarm_server/firmwareParams/locSrv/extPosStdDev] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,302: +PARAM [/crazyflieTypes/CF21SingleMarker/firmwareParams/ctrlMel/ki_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,302: +PARAM [/numMarkerConfigurations] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,302: +PARAM [/crazyflieTypes/CF21SingleMarker/firmwareParams/ctrlMel/kd_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,302: +PARAM [/crazyswarm_server/firmwareParams/stabilizer/estimator] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,302: +PARAM [/crazyflieTypes/defaultSingleMarker/firmwareParams/ctrlMel/i_range_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,302: +PARAM [/crazyflieTypes/CF21SingleMarker/firmwareParams/ctrlMel/i_range_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,302: +PARAM [/crazyflieTypes/medium/firmwareParams/ctrlMel/ki_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,302: +PARAM [/crazyflieTypes/defaultSingleMarker/bigQuad] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,302: +PARAM [/crazyflieTypes/default/firmwareParams/ctrlMel/kR_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,302: +PARAM [/markerConfigurations/2/points/2] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,302: +PARAM [/markerConfigurations/2/points/3] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,303: +PARAM [/crazyflieTypes/large/firmwareParams/ctrlMel/ki_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,303: +PARAM [/markerConfigurations/2/points/1] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,303: +PARAM [/crazyflieTypes/defaultSingleMarker/firmwareParams/ctrlMel/kw_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,303: +PARAM [/crazyflieTypes/medium/firmwareParams/ctrlMel/kw_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,303: +PARAM [/crazyflieTypes/defaultSingleMarker/batteryVoltateCritical] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,303: +PARAM [/crazyflieTypes/CF21SingleMarker/firmwareParams/ctrlMel/ki_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,303: +PARAM [/crazyswarm_server/firmwareParams/ring/headlightEnable] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,303: +PARAM [/crazyflieTypes/large/batteryVoltageWarning] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,303: +PARAM [/crazyswarm_server/firmwareParams/ring/solidRed] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,303: +PARAM [/crazyswarm_server/optitrack_base_port] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,303: +PARAM [/crazyflieTypes/default/bigQuad] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,304: +PARAM [/crazyflieTypes/medium/firmwareParams/ctrlMel/ki_m_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,304: +PARAM [/crazyflieTypes/default/firmwareParams/ctrlMel/kw_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,304: +PARAM [/crazyflieTypes/medium/firmwareParams/ctrlMel/kR_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,304: +PARAM [/crazyflieTypes/defaultSingleMarker/markerConfiguration] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,304: +PARAM [/crazyflieTypes/defaultSingleMarker/firmwareParams/ctrlMel/kR_xy] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,304: +PARAM [/markerConfigurations/3/points/0] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,304: +PARAM [/crazyflieTypes/defaultSingleMarker/firmwareParams/kalman/pNAcc_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,304: +PARAM [/crazyflieTypes/default/batteryVoltateCritical] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,304: +PARAM [/crazyflieTypes/large/firmwareParams/ctrlMel/ki_m_z] by /roslaunch
[rosmaster.master][INFO] 2021-07-24 12:17:05,304: +PARAM [/crazyflieTypes/CF21SingleMarker/firmwareParams/kalman/mNGyro_yaw] by /roslaunch
